site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Acuna Island,ACUN,48.2,-44.637,-60.761,adelie penguin,,,1993,1993,2008.0,1.0,nests,ground,"<p id=""coria2011laurie"" class=""reference"">Coria  N. R.  D. Montalti  E. F. Rombol&aacute;  et al. (2011). &ldquo;Birds at Laurie Island  South Orkney Islands  Antarctica: Breeding species and their distribution&rdquo;. In: <em>Marine Ornithology</em> 39.2  pp. 207&ndash;213.</p>"
Acuna Island,ACUN,48.2,-44.637,-60.761,adelie penguin,,,1994,1994,1920.0,1.0,nests,,"<p id=""woehler1997status"" class=""reference"">Woehler  E. J. and J. P. Croxall (1997). &ldquo;The status and trends of Antarctic and sub-Antarctic seabirds&rdquo;. In: <em>Marine Ornithology</em> 25.1  pp. 43&ndash;66.</p>"
Acuna Island,ACUN,48.2,-44.637,-60.761,adelie penguin,,,2004,2004,1880.0,1.0,nests,ground,"<p id=""coria2011laurie"" class=""reference"">Coria  N. R.  D. Montalti  E. F. Rombol&aacute;  et al. (2011). &ldquo;Birds at Laurie Island  South Orkney Islands  Antarctica: Breeding species and their distribution&rdquo;. In: <em>Marine Ornithology</em> 39.2  pp. 207&ndash;213.</p>"
Acuna Island,ACUN,48.2,-44.637,-60.761,adelie penguin,25.0,2.0,2011,2010,3079.0,5.0,nests,vhr,"<p id=""lynch2014global"" class=""reference"">Lynch  H. J. and M. A. LaRue (2014). &ldquo;First global census of the Ad&eacute;lie Penguin&rdquo;. In: <em>The Auk</em> 131.4  pp. 457&ndash;466. DOI: <a href=""https://doi.org/10.1642/AUK-14-31.1"">10.1642/AUK-14-31.1</a>.</p>"
Acuna Island,ACUN,48.2,-44.637,-60.761,chinstrap penguin,28.0,12.0,1983,1983,4000.0,4.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>"
Acuna Island,ACUN,48.2,-44.637,-60.761,chinstrap penguin,,,2004,2004,7716.0,1.0,nests,ground,"<p id=""coria2011laurie"" class=""reference"">Coria  N. R.  D. Montalti  E. F. Rombol&aacute;  et al. (2011). &ldquo;Birds at Laurie Island  South Orkney Islands  Antarctica: Breeding species and their distribution&rdquo;. In: <em>Marine Ornithology</em> 39.2  pp. 207&ndash;213.</p>"
Acuna Island,ACUN,48.2,-44.637,-60.761,macaroni penguin,,,1993,1993,2.0,1.0,nests,ground,"<p id=""woehler1997status"" class=""reference"">Woehler  E. J. and J. P. Croxall (1997). &ldquo;The status and trends of Antarctic and sub-Antarctic seabirds&rdquo;. In: <em>Marine Ornithology</em> 25.1  pp. 43&ndash;66.</p>"
Adams Island,ADAM,58.4.1,92.549,-66.546,adelie penguin,12.0,11.0,2009,2009,76.0,5.0,nests,vhr,"<p id=""lynch2014global"" class=""reference"">Lynch  H. J. and M. A. LaRue (2014). &ldquo;First global census of the Ad&eacute;lie Penguin&rdquo;. In: <em>The Auk</em> 131.4  pp. 457&ndash;466. DOI: <a href=""https://doi.org/10.1642/AUK-14-31.1"">10.1642/AUK-14-31.1</a>.</p>"
Adams Island,ADAM,58.4.1,92.549,-66.546,adelie penguin,21.0,1.0,2011,2010,425.0,1.0,adults,aerial photo,"<p id=""southwell2013population"" class=""reference"">Southwell  C. and L. Emmerson (2013). &ldquo;First population counts at newly discovered Ad&eacute;lie penguin <em>Pygoscelis adeliae</em> breeding sites along the Wilhelm II  Queen Mary and Wilkes Land coastlines  East Antarctica&rdquo;. In: <em>Marine Ornithology</em> 41  pp. 87&ndash;89.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,,1982,1982,220900.0,2.0,chicks,,"<p id=""wilson1983distribution"" class=""reference"">Wilson  G. (1983). <em>Distribution and abundance of Antarctic and sub-Antarctic penguins: A synthesis of current knowledge</em>. Vol. 4. BIOMASS Scientific Series. Cambridge  United Kingdom: Scientific Committee on Antarctic Research (SCAR).</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,1983,1983,241272.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,1986,1986,238830.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,1988,1988,272338.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,1990,1990,169200.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,1992,1992,297443.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,1998,1998,338777.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,16.0,2.0,2011,2010,338231.0,5.0,nests,vhr,"<p id=""lynch2014global"" class=""reference"">Lynch  H. J. and M. A. LaRue (2014). &ldquo;First global census of the Ad&eacute;lie Penguin&rdquo;. In: <em>The Auk</em> 131.4  pp. 457&ndash;466. DOI: <a href=""https://doi.org/10.1642/AUK-14-31.1"">10.1642/AUK-14-31.1</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,2013,2013,428516.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,2015,2015,445440.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Cape Adare,ADAR,88.1,170.2,-71.306,adelie penguin,,12.0,2018,2018,504332.0,2.0,nests,aerial,"<p id=""manaakiwhenua2021aerial"" class=""reference"">Anderson  D.  F. Shanhun  and R. Macneil (2021). &ldquo;Aerial survey data of Ad&eacute;lie penguin breeding pairs across 39 colonies from Ross Island to Cape Adare. Count data were collected from 1981 - 2019&rdquo;. Dataset downloaded on 04/01/22 from https://doi.org/10.7931/kf06-x745. DOI: <a href=""https://doi.org/10.7931/kf06-x745"">10.7931/kf06-x745</a>.</p>"
Ailsa Craig,AILS,48.2,-44.631,-60.78,chinstrap penguin,28.0,12.0,1983,1983,6000.0,4.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>"
Ailsa Craig,AILS,48.2,-44.631,-60.78,chinstrap penguin,10.0,2.0,2020,2019,3000.0,5.0,nests,vhr,"<p id=""strycker2020a-global"" class=""reference"">Strycker  N.  M. Wethington  A. Borowicz  et al. (2020). &ldquo;A global population assessment of the chinstrap penguin (<em>Pygoscelis antarctica</em>)&rdquo;. In: <em>Scientific Reports</em> 10.1  pp. 1&ndash;11. DOI: <a href=""https://doi.org/10.1038/s41598-020-76479-3"">10.1038/s41598-020-76479-3</a>.</p>"
Barrientos Island (Aitcho Islands),AITC,48.1,-59.752,-62.407,chinstrap penguin,25.0,11.0,1997,1997,4608.0,1.0,nests,ground,"<p id=""lynch2013antarctic"" class=""reference"">Lynch  H. J.  R. Naveen  and P. Casanovas (2013). &ldquo;Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243&rdquo;. In: <em>Ecology</em> 94.11  pp. 2653&ndash;2653. DOI: <a href=""https://doi.org/10.1890/13-1108.1"">10.1890/13-1108.1</a>.</p>"
